LVR Name,PPP Name,PPP Part No - Pin No (Src/Ret),LVR Underground,LVR Surface,Cable Pair Wire.A / Wire.B (Src/Ret)
Gamma,,,LV1.2 (no) (J12/J13) (ChS/ChR),LV1.2 (no) (J12/J13) (ChS/ChR),
PT_b_gamma_S2M_P1W_LV_SRC/RET,JP11_JPU2_P1W_LV_Source/Return,P13 - 1/9,24 - J13 - 6/5,8 - J13 - 8/7 | ID: 108,W1.BLUE / W1.GREEN
PT_b_gamma_S2M_P2E_LV_SRC/RET,JP11_JPU2_P2E_LV_Source/Return,P13 - 2/10,20 - J12 - 6/5,5 - J12 - 6/5 | ID: 58,W2.2 / W2.1
PT_b_gamma_S2S_P1W_LV_SRC/RET,JP10_JPU2_P1W_LV_Source/Return,P13 - 4/12,20 - J12 - 8/7,5 - J12 - 8/7 | ID: 58,W4.6 / W4.5
PT_b_gamma_S2S_P2E_LV_SRC/RET,JP10_JPU2_P2E_LV_Source/Return,P13 - 5/13,17 - J13 - 4/3,3 - J13 - 4/3 | ID: 54,W5.8 / W5.7
PT_b_gamma_S2S_P3_LV_SRC/RET,JP10_JPU2_P3_LV_Source/Return,P13 - 6/14,14 - J13 - 2/1,1 - J12 - 2/1 | ID: 27,W6.9 / W6.10
PT_b_gamma_S1M_P1W_LV_SRC/RET,JP7_JPU2_P1W_LV_Source/Return,P14 - 1/9,24 - J12 - 8/7,8 - J12 - 8/7 | ID: 108,W1.BLUE / W1.GREEN
PT_b_gamma_S1M_P2E_LV_SRC/RET,JP7_JPU2_P2E_LV_Source/Return,P14 - 2/10,20 - J12 - 4/3,5 - J12 - 4/3 | ID: 58,W2.2 / W2.1
PT_b_gamma_S1M_P3_LV_SRC/RET,JP7_JPU2_P3_LV_Source/Return,P14 - 3/11,17 - J12 - 6/5,3 - J12 - 6/5 | ID: 54,W3.4 / W3.3
PT_b_gamma_S1S_P1W_LV_SRC/RET,JP6_JPU1_P1W_LV_Source/Return,P14 - 4/12,20 - J13 - 6/5,7 - J13 - 8/7 | ID: 65,W4.6 / W4.5
PT_b_gamma_S1S_P2E_LV_SRC/RET,JP6_JPU1_P2E_LV_Source/Return,P14 - 5/13,17 - J12 - 2/1,3 - J12 - 2/1 | ID: 54,W5.8 / W5.7
PT_b_gamma_S1S_P3_LV_SRC/RET,JP6_JPU1_P3_LV_Source/Return,P14 - 6/14,14 - J13 - 4/3,1 - J12 - 4/3 | ID: 27,W6.10 / W6.9
PT_b_gamma_S0M_P1W_LV_SRC/RET,JP3_JPU0_P1W_LV_Source/Return,P15 - 1/9,24 - J13 - 4/3,8 - J13 - 4/3 | ID: 108,W1.BLUE / W1.GREEN
PT_b_gamma_S0M_P2E_LV_SRC/RET,JP3_JPU1_P2E_LV_Source/Retrun,P15 - 2/10,20 - J12 - 2/1,5 - J12 - 2/1 | ID: 58,W2.2 / W2.1
PT_b_gamma_S0M_P3_LV_SRC/RET,JP3_JPU1_P3_LV_Source/Return,P15 - 3/11,17 - J12 - 8/7,3 - J12 - 8/7 | ID: 54,W3.4 / W3.3
PT_b_gamma_S0S_P1W_LV_SRC/RET,JP2_JPU0_P1W_LV_Source/Return,P15 - 4/12,20 - J13 - 2/1,7 - J13 - 4/3 | ID: 65,W4.6 / W4.5
PT_b_gamma_S0S_P2E_LV_SRC/RET,JP2_JPU0_P2E_LV_Source/Return,P15 - 5/13,20 - J13 - 8/7,7 - J12 - 8/7 | ID: 65,W5.8 / W5.7
PT_b_gamma_S0S_P3_LV_SRC/RET,JP2_JPU0_P3_LV_Source/Return,P15 - 6/14,17 - J12 - 4/3,3 - J12 - 4/3 | ID: 54,W6.10 / W6.9
PT_b_gamma_S0M_P4_LV_SRC/RET,JP3_JPU1_P4_LV_Source/Return,P34 - 1/9,14 - J13 - 8/7,1 - J12 - 8/7  | ID: 27,W1.BLUE / W1.GREEN
PT_b_gamma_S1M_P4_LV_SRC/RET,JP7_JPU2_P4_LV_Source/Return,P34 - 2/10,14 - J13 - 6/5,1 - J12 - 6/5 | ID: 27,W2.2 / W2.1
PT_b_gamma_S2M_P4_LV_SRC/RET,JP11_JPU2_P4_LV_Source/Return,P34 - 3/11,13 - J13 - 2/1,1 - J13 - 8/7 | ID: 27,W3.4 / W3.3
PT_b_gamma_S2M_P3_LV_SRC/RET,JP11_JPU2_P3_LV_Source/Return,P34 - 4/12,17 - J13 - 8/7,3 - J13 - 8/7 | ID: 54,W4.6 / W4.5
,,,,,
